"brth_yr","gndr","nm","Count","Rank"
2014,"FEMALE","Nevaeh","44","90"
2014,"FEMALE","Madison","316","76"
2014,"FEMALE","Inaya","11","39"
2014,"FEMALE","Autumn","54","82"
2014,"MALE","Cormac","11","101"
2014,"MALE","Fernando","26","82"
2014,"MALE","Alexis","40","68"
2014,"FEMALE","Tzipora","14","82"
2014,"FEMALE","Serenity","81","58"
2014,"FEMALE","Amiyah","18","33"
2014,"MALE","Yossi","15","97"
2014,"MALE","Zev","49","65"
2014,"MALE","Ruben","11","97"
2014,"MALE","Quincy","15","55"
2014,"FEMALE","Kira","13","83"
2014,"MALE","Junior","14","94"
2014,"FEMALE","Taylor","92","143"
2014,"FEMALE","Ashley","203","142"
2014,"MALE","Francis","13","99"
2014,"MALE","Aryeh","22","90"
2014,"FEMALE","Kailey","13","70"
2014,"MALE","Kingsley","21","47"
2014,"FEMALE","Zelda","12","84"
2014,"FEMALE","Dylan","33","63"
2014,"MALE","Cheskel","15","97"
2014,"FEMALE","Caitlin","11","85"
2014,"FEMALE","Marjorie","16","67"
2014,"MALE","Abdullah","30","38"
2014,"MALE","Eason","38","30"
2014,"FEMALE","Joselyn","10","73"
2014,"MALE","Finn","21","91"
2014,"MALE","Timothy","73","285"
2014,"MALE","Ahmed","54","196"
2014,"FEMALE","Lauren","88","143"
2014,"MALE","Emanuel","24","84"
2014,"MALE","Avrohom","27","85"
2014,"MALE","Jonah","57","164"
2014,"FEMALE","Mindy","29","67"
2014,"FEMALE","Trany","12","84"
2014,"MALE","Eden","17","51"
2014,"FEMALE","Mya","53","81"
2014,"FEMALE","Grace","211","108"
2014,"MALE","Everett","16","96"
2014,"FEMALE","Winter","16","35"
2014,"FEMALE","Veronica","18","78"
2014,"FEMALE","Zendaya","13","38"
2014,"MALE","Robert","110","185"
2014,"MALE","James","387","97"
2014,"FEMALE","Magaly","11","72"
2014,"FEMALE","Suri","13","83"
2014,"FEMALE","Evelyn","122","111"
2014,"FEMALE","Alicia","26","107"
2014,"MALE","Roberto","22","86"
2014,"MALE","Drew","12","100"
2014,"MALE","Eric","159","224"
2014,"FEMALE","Lyla","19","77"
2014,"FEMALE","Leora","10","86"
