,Name,Gender,National_Count,National_Rank,City_Count,City_Rank,State_Count,State_Rank
220,Adrianna,F,1280,534.0,39,191,120,330.5
221,Annabella,F,1277,536.0,15,68,87,451.5
222,Juliette,F,1272,540.0,53,126,127,312.5
223,Kendra,F,1271,541.0,11,72,55,679.0
224,Juliet,F,1268,542.0,47,132,108,365.0
225,Sienna,F,1264,545.0,54,125,126,315.5
226,Brynn,F,1257,546.0,10,86,63,612.5
227,Kali,F,1256,547.0,12,39,41,855.0
228,Danielle,F,1242,549.0,35,112,82,481.5
229,Jenna,F,1234,552.0,23,73,88,446.5
230,Paris,F,1226,557.0,40,94,70,556.5
231,Alexia,F,1223,559.0,13,70,49,750.0
232,Lyric,F,1219,561.0,15,36,35,996.5
233,Gemma,F,1218,562.0,17,79,75,522.0
234,Angel,F,1200,568.0,16,34,48,759.5
235,Chelsea,F,1194,570.0,77,107,129,307.5
236,Evangeline,F,1187,574.0,22,157,76,517.0
237,Ayla,F,1182,577.5,18,78,69,562.0
238,Lena,F,1167,582.0,28,68,96,406.0
239,Katie,F,1165,583.0,27,106,71,547.5
240,Olive,F,1151,586.5,19,77,53,700.5
241,Madeleine,F,1149,588.5,35,61,94,417.5
242,Dakota,F,1147,590.0,13,38,65,597.0
243,Elsa,F,1140,593.0,36,110,76,517.0
244,Nova,F,1132,594.0,11,40,51,728.0
245,Nadia,F,1124,598.0,13,83,75,522.0
246,Journey,F,1120,600.0,13,38,34,1030.0
247,Alison,F,1118,601.0,21,62,77,510.0
248,Jada,F,1117,602.0,18,33,61,627.5
249,Nina,F,1106,609.0,73,156,120,330.5
250,Phoebe,F,1103,611.0,40,106,74,527.0
251,Diana,F,1092,615.5,58,121,108,365.0
252,Skyler,F,1083,618.0,21,113,61,627.5
253,Alessandra,F,1081,620.0,30,149,85,463.0
254,Eloise,F,1081,620.0,42,54,85,463.0
255,Nyla,F,1080,622.0,46,89,81,484.5
256,Miriam,F,1070,625.0,143,10,203,193.0
257,Amber,F,1064,626.0,35,98,82,481.5
258,Megan,F,1061,629.5,34,99,85,463.0
259,Ruth,F,1059,631.5,21,158,54,688.5
260,Amiyah,F,1057,634.0,18,33,48,759.5
261,Annie,F,1055,635.5,30,20,61,627.5
262,Amanda,F,1053,638.0,56,173,97,399.0
263,Adelaide,F,1050,639.0,19,77,59,640.0
264,Laura,F,1049,640.5,37,142,84,470.0
265,Lilah,F,1049,640.5,11,85,54,688.5
266,June,F,1048,642.5,13,83,45,799.0
267,Daniella,F,1042,646.0,55,124,122,323.5
268,Mikayla,F,1036,648.5,32,115,92,428.0
269,Jane,F,1026,651.0,25,71,54,688.5
270,Christina,F,1022,653.5,48,232,92,428.0
271,Erin,F,1021,655.5,21,125,68,569.5
272,Joanna,F,1021,655.5,32,18,81,484.5
273,Kelsey,F,1017,660.0,14,37,68,569.5
274,Talia,F,1013,661.0,49,47,89,442.0
275,Fatima,F,1012,662.0,66,131,99,390.0
276,Allyson,F,1011,663.0,16,67,37,945.0
277,Mariana,F,1009,665.5,18,65,47,769.0
278,Sabrina,F,1008,667.0,62,167,111,355.0
279,Leslie,F,1000,671.0,34,49,63,612.5
280,Heaven,F,996,673.0,40,94,64,604.5
281,Arielle,F,985,675.5,28,106,89,442.0
282,Alicia,F,977,679.5,26,107,69,562.0
283,Heidi,F,955,691.5,11,72,50,740.0
284,Malia,F,954,693.0,18,33,58,653.5
285,Selena,F,953,694.0,28,105,65,597.0
286,Kira,F,947,697.0,13,83,56,671.0
287,Lana,F,942,699.5,13,83,55,679.0
288,Kiara,F,923,703.0,49,85,77,510.0
289,Daphne,F,917,706.5,16,80,46,784.5
290,Kyla,F,917,706.5,11,40,51,728.0
291,Carly,F,916,708.5,10,86,64,604.5
